English,Russian
John,Джон
William,Уильям
James,Джеймс
Charles,Чарльз
George,Джордж
Frank,Фрэнк
Joseph,Джозеф
Thomas,Томас
Henry,Генри
Robert,Роберт
Edward,Эдвард
Harry,Гарри
Walter,Уолтер
Arthur,Артур
Fred,Фред
Albert,Альберт
Samuel,Сэмюэл
David,Дэвид
Louis,Луис
Joe,Джо
Charlie,Чарли
Clarence,Кларенс
Richard,Ричард
Andrew,Эндрю
Daniel,Даниэль
Ernest,Эрнест
Will,Уилл
Jesse,Джесси
Oscar,Оскар
Lewis,Льюис
Peter,Питер
Benjamin,Бенджамин
Frederick,Фредерик
Willie,Вилли
Alfred,Альфред
Sam,Сэм
Roy,Рой
Herbert,Герберт
Jacob,Джейкоб
Tom,Том
Elmer,Элмер
Carl,Карл
Lee,Ли
Howard,Говард
Martin,Мартин
Michael,Майкл
Bert,Берт
Herman,Герман
Jim,Джим
Francis,Фрэнсис
Harvey,Харви
Earl,Эрл
Eugene,Юджин
Ralph,Ральф
Ed,Эд
Claude,Клод
Edwin,Эдвин
Ben,Бен
Charley,Чарли
Paul,Пол
Edgar,Эдгар
Isaac,Айзек
Otto,Отто
Luther,Лютер
Lawrence,Лоренс
Ira,Айра
Patrick,Патрик
Guy,Гай
Oliver,Оливер
Theodore,Теодор
Hugh,Хью
Clyde,Клайд
Alexander,Александр
August,Огаст
Floyd,Флойд
Homer,Гомер
Jack,Джек
Leonard,Леонард
Horace,Гораций
Marion,Марион
Philip,Филипп
Allen,Аллен
Archie,Арчи
Stephen,Стивен
Chester,Честер
Willis,Уиллис
Raymond,Раймонд
Rufus,Руфус
Warren,Уоррен
Jessie,Джесси
Milton,Милтон
Alex,Алекс
Leo,Лео
Julius,Джулиус
Ray,Рэй
Sidney,Сидни
Bernard,Бернард
Dan,Дэн
Jerry,Джерри
Calvin,Кальвин
Perry,Перри
Dave,Дэйв
Anthony,Энтони
Eddie,Эдди
Amos,Эймос
Dennis,Деннис
Clifford,Клиффорд
Leroy,Лерой
Wesley,Уэсли
Alonzo,Алонзо
Garfield,Гарфилд
Franklin,Франклин
Emil,Эмиль
Leon,Леон
Nathan,Нэйтан
Harold,Гарольд
Matthew,Мэтью
Levi,Леви
Moses,Моисей
Everett,Эверетт
Lester,Лестер
Winfield,Уинфилд
Adam,Адам
Lloyd,Ллойд
Mack,Мак
Fredrick,Фредерик
Jay,Джей
Jess,Джесс
Melvin,Мелвин
Noah,Ноа
Aaron,Аарон
Alvin,Элвин
Norman,Норман
Gilbert,Гилберт
Elijah,Элайджа
Victor,Виктор
Gus,Гас
Nelson,Нельсон
Jasper,Джаспер
Silas,Сайлас
Christopher,Кристофер
Jake,Джейк
Mike,Майк
Percy,Перси
Adolph,Адольф
Maurice,Морис
Cornelius,Корнелиус
Felix,Феликс
Reuben,Рубен
Wallace,Уоллес
Claud,Клод
Roscoe,Роско
Sylvester,Сильвестр
Earnest,Эрнест
Hiram,Хайрам
Otis,Отис
Simon,Саймон
Willard,Уиллард
Irvin,Ирвин
Mark,Марк
Jose,Хосе
Wilbur,Уилбур
Abraham,Авраам
Virgil,Вергилий
Clinton,Клинтон
Elbert,Элберт
Leslie,Лесли
Marshall,Маршалл
Owen,Оуэн
Wiley,Уайли
Anton,Антон
Morris,Моррис
Manuel,Мануэль
Phillip,Филипп
Augustus,Августус
Emmett,Эмметт
Eli,Илай
Nicholas,Николас
Wilson,Уилсон
Alva,Альва
Harley,Харли
Newton,Ньютон
Timothy,Тимоти
Marvin,Марвин
Ross,Росс
Curtis,Куртис
Edmund,Эдмунд
Jeff,Джефф
Elias,Элиас
Harrison,Харрисон
Stanley,Стэнли
Columbus,Колумбус
Lon,Лон
Ora,Ора
Ollie,Олли
Russell,Рассел
Pearl,Пёрл
Solomon,Соломон
Arch,Арч
Asa,Аса
Clayton,Клейтон
Enoch,Инох
Irving,Ирвинг
Mathew,Мэтью
Nathaniel,Натаниэль
Scott,Скотт
Hubert,Губерт
Lemuel,Лемуэль
Andy,Энди
Ellis,Эллис
Emanuel,Эммануэль
Joshua,Джошуа
Millard,Миллард
Vernon,Вернон
Wade,Уэйд
Cyrus,Сайрус
Miles,Майлс
Rudolph,Рудольф
Sherman,Шерман
Austin,Остин
Bill,Билл
Chas,Час
Lonnie,Лонни
Monroe,Монро
Byron,Байрон
Edd,Эдд
Emery,Эмери
Grant,Грант
Jerome,Джером
Max,Макс
Mose,Моз
Steve,Стив
Gordon,Гордон
Abe,Эйб
Pete,Пит
Chris,Крис
Clark,Кларк
Gustave,Густав
Orville,Орвилл
Lorenzo,Лоренцо
Bruce,Брюс
Marcus,Маркус
Preston,Престон
Bob,Боб
Dock,Док
Donald,Дональд
Jackson,Джексон
Cecil,Сесил
Barney,Барни
Delbert,Делберт
Edmond,Эдмонд
Anderson,Андерсон
Christian,Кристиан
Glenn,Гленн
Jefferson,Джефферсон
Luke,Люк
Neal,Нил
Burt,Бёрт
Ike,Айк
Myron,Майрон
Tony,Тони
Conrad,Конрад
Joel,Джоэл
Matt,Мэтт
Riley,Райли
Vincent,Винсент
Emory,Эмори
Isaiah,Айзейя
Nick,Ник
Ezra,Эзра
Green,Грин
Juan,Хуан
Clifton,Клифтон
Lucius,Люциус
Porter,Портер
Arnold,Арнольд
Bud,Бад
Jeremiah,Джеремия
Taylor,Тейлор
Forrest,Форрест
Roland,Роланд
Spencer,Спенсер
Burton,Бёртон
Don,Дон
Emmet,Эммет
Gustav,Густав
Louie,Луи
Morgan,Морган
Ned,Нед
Van,Ван
Ambrose,Амброуз
Chauncey,Чонси
Elisha,Элайджа
Ferdinand,Фердинанд
General,Генерал
Julian,Джулиан
Kenneth,Кеннет
Mitchell,Митчелл
Allie,Элли
Josh,Джош
Judson,Джадсон
Lyman,Лайман
Napoleon,Наполеон
Pedro,Педро
Berry,Берри
Dewitt,Дьюитт
Ervin,Эрвин
Forest,Форест
Lynn,Линн
Pink,Пинк
Ruben,Рубен
Sanford,Сэнфорд
Ward,Уорд
Douglas,Дуглас
Ole,Оле
Omer,Омер
Ulysses,Улисс
Walker,Уокер
Wilbert,Уилберт
Adelbert,Адельберт
Benjiman,Бенджамин
Ivan,Иван
Jonas,Джонас
Major,Мэйджор
Abner,Абнер
Archibald,Арчибальд
Caleb,Калеб
Clint,Клинт
Dudley,Дадли
Granville,Гранвилл
King,Кинг
Mary,Мэри
Merton,Мертон
Antonio,Антонио
Bennie,Бенни
Carroll,Кэрролл
Freeman,Фримен
Josiah,Джозайя
Milo,Майло
Royal,Роял
Dick,Дик
Earle,Эрл
Elza,Эльза
Emerson,Эмерсон
Fletcher,Флетчер
Judge,Джадж
Laurence,Лоренс
Neil,Нил
Roger,Роджер
Seth,Сет
Glen,Глен
Hugo,Хьюго
Jimmie,Джимми
Johnnie,Джонни
Washington,Вашингтон
Elwood,Элвуд
Gust,Гаст
Harmon,Гармон
Jordan,Джордан
Simeon,Симеон
Wayne,Уэйн
Wilber,Уилбер
Clem,Клем
Evan,Эван
Frederic,Фредерик
Irwin,Ирвин
Junius,Джуниус
Lafayette,Лафайет
Loren,Лорен
Madison,Мэдисон
Mason,Мэйсон
Orval,Орвал
Abram,Абрам
Aubrey,Обри
Elliott,Эллиот
Hans,Ханс
Karl,Карл
Minor,Майнор
Wash,Уош
Wilfred,Уилфред
Allan,Аллан
Alphonse,Альфонс
Dallas,Даллас
Dee,Ди
Isiah,Айзейя
Jason,Джейсон
Johnny,Джонни
Lawson,Лоусон
Lew,Лью
Micheal,Майкл
Orin,Орин
Addison,Эддисон
Cal,Кэл
Erastus,Эрастус
Francisco,Франсиско
Hardy,Харди
Lucien,Люсьен
Randolph,Рэндольф
Stewart,Стюарт
Vern,Верн
Wilmer,Уилмер
Zack,Зак
Adrian,Адриан
Alvah,Альва
Bertram,Бертрам
Clay,Клей
Ephraim,Эфраим
Fritz,Фриц
Giles,Джайлс
Grover,Гровер
Harris,Харрис
Isom,Айсом
Jesus,Хесус
Johnie,Джонни
Jonathan,Джонатан
Lucian,Люсьен
Malcolm,Малькольм
Merritt,Мерритт
Otho,Ото
Perley,Перли
Rolla,Ролла
Sandy,Сэнди
Tomas,Томас
Wilford,Уилфорд
Adolphus,Адольфус
Angus,Ангус
Arther,Артур
Carlos,Карлос
Cary,Кэри
Cassius,Кассиус
Davis,Дэвис
Hamilton,Гамильтон
Harve,Харв
Israel,Израэль
Leander,Леандер
Melville,Мелвилл
Merle,Мерл
Murray,Мюррей
Pleasant,Плезант
Sterling,Стерлинг
Steven,Стивен
Axel,Аксель
Boyd,Бойд
Bryant,Брайант
Clement,Клемент
Erwin,Эрвин
Ezekiel,Иезекииль
Foster,Фостер
Frances,Фрэнсис
Geo,Джо
Houston,Хьюстон
Issac,Айзек
Jules,Джулс
Larkin,Ларкин
Mat,Мэт
Morton,Мортон
Orlando,Орландо
Pierce,Пирс
Prince,Принс
Rollie,Ролли
Rollin,Роллин
Sim,Сим
Stuart,Стюарт
Wilburn,Уилберн
Bennett,Беннетт
Casper,Каспер
Christ,Крайст
Dell,Делл
Egbert,Эгберт
Elmo,Элмо
Fay,Фэй
Gabriel,Габриэль
Hector,Гектор
Horatio,Горацио
Lige,Лайдж
Saul,Сол
Smith,Смит
Squire,Сквайр
Tobe,Тоб
Tommie,Томми
Wyatt,Уайатт
Alford,Олфорд
Alma,Альма
Alton,Олтон
Andres,Андрес
Burl,Бёрл
Cicero,Цицерон
Dean,Дин
Dorsey,Дорси
Enos,Инос
Howell,Хауэлл
Lou,Лу
Loyd,Лойд
Mahlon,Малон
Nat,Нэт
Omar,Омар
Oran,Оран
Parker,Паркер
Raleigh,Роли
Reginald,Реджинальд
Rubin,Рубин
Seymour,Сеймур
Wm,Уильям
Young,Янг
Benjamine,Бенджамин
Carey,Кэри
Carlton,Карлтон
Eldridge,Элдридж
Elzie,Элзи
Garrett,Гарретт
Isham,Айшем
Johnson,Джонсон
Larry,Ларри
Logan,Логан
Merrill,Меррилл
Mont,Монт
Oren,Орен
Pierre,Пьер
Rex,Рекс
Rodney,Родни
Ted,Тед
Webster,Уэбстер
West,Уэст
Wheeler,Уилер
Willam,Уильям
Al,Эл
Aloysius,Алоизиус
Alvie,Алви
Anna,Анна
Art,Арт
Augustine,Августин
Bailey,Бейли
Benjaman,Бенджамин
Beverly,Беверли
Bishop,Бишоп
Clair,Клэр
Cloyd,Клойд
Coleman,Коулман
Dana,Дэйна
Duncan,Дункан
Dwight,Дуайт
Emile,Эмиль
Evert,Эверт
Henderson,Хендерсон
Hunter,Хантер
Jean,Джин
Lem,Лем
Luis,Луис
Mathias,Матиас
Maynard,Мэйнард
Miguel,Мигель
Mortimer,Мортимер
Nels,Нельс
Norris,Норрис
Pat,Пэт
Phil,Фил
Rush,Раш
Santiago,Сантьяго
Sol,Сол
Sydney,Сидней
Thaddeus,Таддеус
Thornton,Торнтон
Tim,Тим
Travis,Трэвис
Truman,Трумэн
Watson,Уотсон
Webb,Уэбб
Wellington,Веллингтон
Winfred,Уинфред
Wylie,Уайли
Alec,Алек
Basil,Бэзил
Baxter,Бакстер
Bertrand,Бертран
Buford,Бьюфорд
Burr,Бёрр
Cleveland,Кливленд
Colonel,Полковник
Dempsey,Демпси
Early,Эрли
Ellsworth,Эллсворт
Fate,Фэйт
Finley,Финли
Gabe,Гейб
Garland,Гарланд
Gerald,Джеральд
Herschel,Хершел
Hezekiah,Хезекия
Justus,Джастус
Lindsey,Линдси
